keyword,tweet,username,creation date
Climate change,"Just heard something on news regarding climate change protesters: First they ignore you then they fight you, then they mock you. Sounds familiar to 50s women and many more. THEN YOU WIN",olwynmaddox@hotmail.co.uk,2019-10-08 12:27:50
Climate change,@liam345 @DianeLindsay17 People like you Liam (Gammon) are more likely to be followers than thinkers. Of course climate change is real - Science!,Lana Sings Bass,2019-10-08 12:27:46
Climate change,"Climate change threatens so much of what we have worked to achieve in the last 50 years - improved public health, increasing equality and extensive human rights. Every time we talk about this issue we have to remember who will be affected the worst #LeaveNoOneBehind https://t.co/cnN7xroalA",Rhiannon Osborne,2019-10-08 12:27:40
Climate change,"@donglongdailo @ArsVampyre @Blizzard_Ent But all that stuff is interconnected, @donglongdailo . Be it China, climate change, wars, or anything else, the bottom line is money. China and US both meddle in world affairs, but who would you rather have ruling the world?",P̧͙̱̫͖͂̄͗̂̓ǒ̷̧̟̜̙̪̥̩̩̣̿́̓̚͟͠p̛̦̖̪̮͇̠͍̪͇̈̊͂́͘͞làr,2019-10-08 12:27:40
Climate change,Climate change threatens coffee production: This is how farmers can adapt https://t.co/V4p9ZOhXSe,Jeff Wilkerson,2019-10-08 12:27:36
Climate change,"@honneybadger You are welcome, Congratulations to you too. Be cool Ma'am. There are two school of thoughts as long as Climate change is concerned. Sorry for discussion with you",baqir ali,2019-10-08 12:27:32
Climate change,"After processing yesterday's content and sleeping on it, my overall impression is: lack of urgency. There were references to climate change, but all very carefully framed to not point any fingers at those in the audience. I wish at least one speaker had been more...disruptive. https://t.co/SfvnFBvmq0",Kevin Krueger,2019-10-08 12:27:30
Climate change,"@patrick_s_smart @KevinClimate @HenriBontenbal @XR_Amsterdam ""What @XR_Amsterdam wants will kill our economy.""

And climate change won't?

Any backup to your statement or is this just your opinion?",Emile Sprenger,2019-10-08 12:27:29
Climate change,"When people say, “the climate has always changed” as an excuse to avoid worrying about anthropogenic climate change, what I hear is, “People have always gotten food poisoning, so you shouldn’t bother cooking your chicken.”",SkuttleMan,2019-10-08 12:27:24
Climate change,"@vamroses @eldertine @CarolineLucas @joswinson @jeremycorbyn @IanBlackfordMP Totalitarianism based on loose ideaologies such as ""climate change""",John Leslie,2019-10-08 12:27:21
Climate change,@talkRADIO @Matthew_Wright @TVKev @THEJamesWhale what’s wrong with picture at a climate change people are saying well done ! For me a rich kid with nothing else better to do loving the media wrong representation ! #london #ClimateChange hmm ? https://t.co/prhwVA9V7Z,ITALIAN WOLVERINE,2019-10-08 12:27:20
Global warming,omg twitter don’t suspend i’m fighting climate change https://t.co/FUB48wMiwx,m,2019-10-08 12:27:20
Climate change,"Climate change is our ""defining challenge"". Here comes the carbon taxes! #Budget2020",Bob Quinn CFP®,2019-10-08 12:27:18
Climate change,Mosquitoes are going to take over the world with global warming and they're already enough of a problem,Godzilla better than One Piece,2019-10-08 12:27:14
Climate change,"@Firstplacelast @SkyNews I am a scientist, and I can tell you scientists just believe what they are told, and are just as susceptible to groupthink as often as anyone else. Look at the history of the climate change idea, it has not primarily come from scientists, but billionaires like the Rockefellers.",ThingNoticer 👀,2019-10-08 12:27:14
Climate change,"How a climate crisis graphic became a meme https://t.co/hv51K1GFjX
#climate #climatechange #environment 
#TuesdayThoughts 
#DomarnCreativeAgency 
#DigitalDesign #StrategyMarketing 
#SocialMedia",domarncreative,2019-10-08 12:27:13
Climate change,"CLIMATE CHANGE FACTS -
Only 0.3% of published scientists stated in their papers that recent warming was mostly man made!!
So much for 97% consensus of scientists agree warming is attributable to human activity??
Science is not consensus and consensus is not science!",Neil Rogers ( MP stands for Muppet People ),2019-10-08 12:27:12
Climate change,"CLIMATE CHANGE FACTS -
6,100 of the last 10,000 years were warmer than today!
We are living in one of the coldest periods in all of Earth's history.
Earth has not had a geological period this cold in 250 million years.
IPCC models overstate future warming by 3 times too much.",Neil Rogers ( MP stands for Muppet People ),2019-10-08 12:27:12
Climate change,"CLIMATE CHANGE FACTS -
Each of the 4 previous inter glacial warming periods were significantly warmer than our current temperature.
The last inter glacial period, approx 120,000 years ago, was 8°C warmer than today.
Today's total warming rate is similar to earlier periods.",Neil Rogers ( MP stands for Muppet People ),2019-10-08 12:27:12
Global warming,"London police have made more than 300 arrests as #climate-change protesters, labelled ""uncooperative crusties"" by UK Prime Minister Boris Johnson, continued two weeks of civil disobedience #ExtinctionRebellion https://t.co/W9gEsv7IvC",TRF Climate,2019-10-08 12:27:08
Climate change,Plastic turned into buildings across Cote d'Ivoire https://t.co/Zby53nxK4E via @RFI_En,BUC Ltd,2019-10-08 12:27:08
Climate change,"https://t.co/GFSu58Vhun
westminster

Oh May karma come a knocking at your doors. What goes around comes around.",Jane Whitt remainers cant even do a coup properly,2019-10-08 12:27:06
Climate change,I will be leading a climate change protest at my sisters wedding,katie ¨̮,2019-10-08 12:27:05
Climate change,@ZubyMusic There’s no way these people are sober... she had good balance/foot work but god damn you gotta be really fucked up to do/think like this... also where does climate change come to play here,Jake Lemire,2019-10-08 12:27:04
Climate change,"Students in visiting lecturer Gerard Finin's class discuss climate change impacts with reps from the Kingdom of Tonga at the International Conference of Sustainable Development (ICSD), read the blog post here: 
https://t.co/3qm7BmAsRx #cornellaap #cornellplanning #climatechange https://t.co/6ysvZUrqqT",Cornell Planning,2019-10-08 12:27:01
Global warming,"@wiley671 Hi wiley
Do u play role important to EARTH ENVIRONMENT. Check these music about the cause &amp; effects of GLOBAL WARMING, caring and destroying our MOTHER EARTH...Pls click to watch these link:

https://t.co/16aHBrAMbo 

write comment, share &amp; subscribe..",JunLagz,2019-10-08 12:26:57
Climate change,"@338Canada is a phenomenal resource for looking at polling in your ridings. Head here to see what is happening in Toronto 👉 https://t.co/xl9UQmOutV

I believe Climate Change is the most important election issue, so make sure you educate yourself and vote for our planet 🌎",Steven Smits,2019-10-08 12:26:52
Climate change,"@barktiar 🤡“You’ve sided with huge globalist organisations to preach about climate change???” 

👸*wearing a rolex* 
“Yes.”",マイナーな欝は戯言(ざれごと) バラ色は廉価,2019-10-08 12:26:49
Climate change,"Hey @BarrySheerman why we're you not on that gig?? You love the EU and you want to stop ""climate change"" winer winer EU gravy train dinner!! 👍👍👍👍👍 https://t.co/mSdDfy7F4p",Kevin hirst,2019-10-08 12:26:49
Climate change,"Glaciers on Mont Blanc, the tallest mountain in Europe, are melting rapidly due to climate change, expert says - ABC News - https://t.co/MA9NhyxCKp via @ABC",JoeKing,2019-10-08 12:26:46
Climate change,"@TulsiGabbard Hegelian Dialectic to bring about World Govt: Weather Modification technology’s used secretly, results blamed on “Climate Change”, solution proposed: can only be “solved” by one world Govt.   guaranteed it will have nothing to do with the US Constitution.",William Fletcher,2019-10-08 12:26:45
Climate change,"@PaulEDawson @jruddchemist When global warming is debated in front of an academic audience the scientists tend to lose. They gloss over the lies, dirty tricks and assumptions and are too stupid to lie their way out of it when confronted.

Sceptics doubled from 30 to 57 percent

https://t.co/q7pbnD1qyk",IHTT,2019-10-08 12:26:45
Climate change,"@Paschald 🌎🐝CLIMATE: @Paschald says while Brexit is ""the most immediate"" risk, climate change is ""the defining challenge of our generation"" Govt claims it has a plan that will help it meet 2030 climate + energy targets",Ellen Coyne,2019-10-08 12:26:41
Climate change,"@jonkudelka You know the rules. 
You can't comment on climate change unless you have considered both sides of the argument that includes fully documented solutions that don't effect the economy. 
Did I mention both sides of the argument? We may not need to do anything. Let's wait and see.",💧 Chris Hibbert,2019-10-08 12:26:41
Climate change,Extinction Rebellion climate change activists defend their actions https://t.co/xgIGm3WwgS,🌱💧Chello.,2019-10-08 12:26:41
Climate change,"Planting Billions of Trees Is the 'Best Climate Change Solution Available Today,' Study Finds https://t.co/5OGLN9BsNa",Balasan Pulis,2019-10-08 12:26:34
Climate change,"@JohnStevenSaul @SuperPatriotMax @cbouzy @BotSentinel I engage in an exchange of facts.  Democrats simply have none. I debate Climate Change, politics, and enjoy good old fashion banter.  I have every right to express my political opinion here and everywhere else I feel I need too.  This is naziesque, and a violation of my rights.",Tammi Me’chelle,2019-10-08 12:26:32
Climate change,British University Forces ALL Students to Attend Lectures on Climate Change https://t.co/ogjOOm9iLs #ClimateChange #UK #UniversityofSheffield,National File Tech,2019-10-08 12:26:32
Climate change,Over 300 arrests as London climate-change activists vow more protests https://t.co/O8jPaCeoIh https://t.co/JDELfS9Nbf,Reuters Top News,2019-10-08 12:26:19
Climate change,Brilliant @reactionlife debut by @Jd_tweets_ (Jack Dickens) - How capital markets are already working to mitigate climate change https://t.co/Mf27EcJUJs,Alastair Benn,2019-10-08 12:26:18
Global warming,Hundreds Arrested In Global Action Against Climate Change https://t.co/2cAmiA556Q,ERANETS,2019-10-08 12:26:11
Climate change,"@PaulyPaulLabour @wctorrance @PeoplesMomentum He is my nephew. I don't deny climate change, as such, I just genuinely believe it will lead to more taxes for ordinary working class people. It seems to be the solution to everything:
Sugar tax
Minimum price alcohol (Scotland)
Congestion charge",James Ross,2019-10-08 12:26:10
Climate change,"Does flight shaming work? This new travel survey might surprise you https://t.co/4jIeOYE8aG
only fools would deny flying to anywhere. 
it's the private planes with a 12 vs  250+ per flight
should think twice. if you are pushing climate change.",MR TADS,2019-10-08 12:26:05
Climate change,"So I watched the highlights of the #CanadaDebates2019 

Andrew Sheer worries me now. Pro life, climate change denier... 

Eek.

No matter my opinion on pro life, some dumb man in a suit doesn’t get to decide my rights to my body. https://t.co/sCVWIiCjoP",Briar's Reviews,2019-10-08 12:26:05
Climate change,"""Your words are not good enough anymore,"" says @theJagmeetSingh to Trudeau in climate change part of debate! 

R/T @FBoivinGatineau

 #elxn43",Rick Barnes,2019-10-08 12:25:59
Climate change,"@MichaelBlairTV Because groupthink, because it's easy to become disassociated from celebrities when they are down a camera, and because, in truth, people don't like knowing climate change is actually something we need to worry about",Madelaine Hanson,2019-10-08 12:25:56
Climate change,"@Fullenglish_62 @MartynGorse @barley_bunny @_Farmergeddon They're Anarchists pure and simple, if it isn't climate change it'd be some other protest. The Devil makes work for idle hands",Foxy (Part time Gopher) loves Humbugs 🦊,2019-10-08 12:25:54
Climate change,Climate change hoax COLLAPSES as new science finds human activity has virtually zero impact on global temperatures – https://t.co/zb4QXyhXbe https://t.co/LiX8zWvp3P,TheyWereAlwaysGonnaCallUsRacist,2019-10-08 12:25:51
Climate change,We won’t need any. Global warming or something 😂😂😂 https://t.co/5RoqKptNX6,Richard J Stanley,2019-10-08 12:25:51
Global warming,Climate Change Protester Chains Himself to a Car and Cries Because His Kids Are 'Very Frightened of Their Future' https://t.co/xhiiVXKXdc,🏖🌞Karoleigh 🇺🇸🇬🇧🇨🇦🇦🇺,2019-10-08 12:25:50
Climate change,Oyster reefs are making a comeback–by protecting coasts from the ravages of climate change - https://t.co/WTKlUN4UXT,Exact Option Picks,2019-10-08 12:25:47
Climate change,Lake Michigan reached record high levels this summer. Is climate change the cause? https://t.co/yuZYPb8NYo via @journalsentinel,Lou Saldivar,2019-10-08 12:25:40
Climate change,"@bethanyusher @Nigel_Farage @BorisJohnson And again I will answer you as you appear incapable of reading the first reply.
It doesn't allow here it would fill a book!
Fisheries and agriculture alone would be huge. Never mind climate change protectionism etc. 
So corrupt rotten unelected cesspit",Andy Stuart-Thompson,2019-10-08 12:25:38
Climate change,"Conservatives lie. They lie about taxes. They lie about climate change. They lie about who they represent. It is because they're industry lobbyists and lobbyists lie as a rule. 

#elxn43 #cdnpoli #NDP https://t.co/D7UkSW6IGw",Sean H.,2019-10-08 12:25:38
Climate change,"Initiative implemented under the CanBIO program, with which we will have invested, in collaboration with the Government of the Canary Islands, 2,000,000€ during the next four years for the study of climate change on the waters of the Canary Islands and the Macaronesia region.",Loro Parque,2019-10-08 12:25:36
Climate change,72% might believe climate change is affecting them personally but… https://t.co/9Px9MwO8MO https://t.co/BOE4yUfksA,CM N/X7808,2019-10-08 12:25:30
Global warming,"This election, no matter what else one believes, needs to be about climate change... https://t.co/2Bapg1daXx",Patricia Houlihan,2019-10-08 12:25:29
Climate change,"@shivchaudhary0 @ParveenKaswan @NagNaidu08 @AkhileshIFS @pinakchakrvarty @PrakashJavdekar @moefcc @moesgoi @rajeevan61 @ObamaFoundation @India4Climate True,only one thing, that could define the Contour of the Globe in this century..is the imperatives of global warming...",pramod kumar,2019-10-08 12:25:29
Climate change,Busy here today with @ThreeDiscovery and @SteveatThree1!  P6 have worked on collating and showcasing their learning on Climate Change this block using the Pic Collage App! @ScotGovClimate  📱🎆🌠🌅#climateactionweek19 @BinnieRachel @DL_for_All,St Joseph's Primary,2019-10-08 12:25:28
Climate change,72% might believe climate change is affecting them personally but… https://t.co/afzIKfLhcZ https://t.co/TcS6dAXrBl,FREE THOUGHT MARKET,2019-10-08 12:25:26
Climate change,"how do you effectively argue against criticism along the lines of 

""you wear clothes made in a supply chain that emits co2 so you can't be concerned about climate change""

or

""you didn't walk to a climate protest so you are a hypocrite""?

things like this...","Chris ""writing a book"" Lee",2019-10-08 12:25:26
Climate change,"For a house at the Jersey Shore, owners are willing to bear the risks of hurricanes and flooding https://t.co/4hMy2TKklB via @phillyinquirer",Richard VanOsten,2019-10-08 12:25:23
Climate change,The thing about #ATEEZCOMEBACK that everyone is missing is that we are on the verge of runaway climate change and we need a complete re-think of the global economy to ensure a just society &amp; avoid planetary catastrophe.,"Eyes on the prize, people",2019-10-08 12:25:22
Climate change,Climate change is real. Denying that it’s happening is only hurting your future family members https://t.co/Vw7zPkPs2G,mama T,2019-10-08 12:25:20
Climate change,@stesezfitzwitty @ExtinctionR @XRLondon They are advocating for change and choice. Climate change is a battle against capitalistic greed. That's why you see anyone against is is some greedy so and so who can afford to protect their loved ones from the polluted environment. Or a poor one is apathetic.,😊photogirl,2019-10-08 12:25:19
Climate change,Millennials are ending any “debate” about global warming.   https://t.co/Whr97RS8bb,Dave Stickland,2019-10-08 12:25:16
Climate change,Is it weird that I was watching The Walking Dead the other night and all I could think was that the threat of climate change has probably been reduced?,CD 💿,2019-10-08 12:25:16
Climate change,"@eucopresident @BorisJohnson For the record, I love Europe, the culture and the people. Close friendship in economies, security and combating climate change and environmental damage should be priorities rather than creating an 'empire' in Guy's words",Gareth Howgill,2019-10-08 12:25:02
Climate change,@ZubyMusic It’s their climate change dance. No more of a chance of this dance working than any other efforts made as you can’t change the relation of the sun to the Earth and that is what effects climate change and ALWAYS HAS.,Jeffrey Westerholt,2019-10-08 12:25:00
Climate change,@SmokeyTheBrit @julesi1984 @wwf_uk But.. climate change! Brexit! Trump! 😭😭😭🍼,Loout since,2019-10-08 12:24:55
Climate change,"#bbcnews Johnsons mouth at it again mentions "" some crusties "" referingto climate change protesters",itiddly,2019-10-08 12:24:52
Climate change,"@PaulEDawson Climate for adults

'Water Vapor is the most abundant greenhouse gas in the atmosphere..

The feedback loop in which water is involved is critically important to projecting future climate change, but as yet is still fairly poorly measured and understood.

https://t.co/uFxVGsySXf",IHTT,2019-10-08 12:24:49
Climate change,"Jacques Cartier Bridge has reopened after rush hour climate change protest

Several people have been arrested #CJAD800",Andrew Peplowski,2019-10-08 12:24:49
Climate change,"The wait has been way too long.  We need to see the big names behind , the destruction of our nation, go down, very soon.  The UN needs to be dissolved.  Abortion must be ended.  Globalism and climate change garbage needs to be stopped.  China needs to be stopped.",Rick@Ricks,2019-10-08 12:24:46
Global warming,Imagine the impact we’d have if people were as outraged by climate change as they are by the FUCKING Tim Hortons lid.,✧ bb bec ✧,2019-10-08 12:24:46
Climate change,"@patrickcherry @dpb1964 @BarryWhorlow @Drury7Drury Are you stupid? He answered your question. Climate change is a real thing and it's been happening since this planet came into being, it's called weather. The Global warming agenda however is a scam.",Just Jahmez,2019-10-08 12:24:46
Climate change,Radical warming in Siberia leaves millions on unstable ground - Washington Post https://t.co/c2nDNJiQH9,Kiersten,2019-10-08 12:24:46
Climate change,"@kevincorke Since Leftist Californians are so concerned with climate change, believe fossil fuels are bad, and think they will die in 12 years, I propose eliminating all gas stations in their state and encouraging them to walk everywhere. It’s a win-win. 😉",Patriot Henry,2019-10-08 12:24:39
Climate change,"@GeneBalfourPPC @theJagmeetSingh @ElizabethMay @MaximeBernier Wealthy inequality highest in 50 years, Bernier wasn't too impressive, surprised he doesn't believe in climate change",Amdhal,2019-10-08 12:24:35
Climate change,"A climate change activist from the Extinction Rebellion group is arrested by police in Trafalgar Square in central London, on October 7, 2019 during the group's global climate protests.   Ben Stansall, AFP/Getty Images https://t.co/y0crOMshBD",jmarine,2019-10-08 12:24:28
Climate change,"A disturbing but urgent look at the future of the climate crisis from the thawing tundra of Siberia. A great piece of field reporting, mixing storytelling with nuanced context and perspective. 
https://t.co/uhtVrZmDva",Dan Rather,2019-10-08 12:24:28
Climate change,Attacks on Greta Thunberg Come from a Coordinated Network of Climate Change Deniers https://t.co/vCi7zGFE0B,smebulok,2019-10-08 12:24:23
Climate change,@CNN I'm thinking we may not need to be so concerned about climate change.,Phil Whitaker,2019-10-08 12:24:22
Climate change,"Our leaders pursue behavior modification though punitive taxes and ""road diets"" for a climate change agenda that will literally make zero difference in world carbon emissions. ZERO.

But it's the virtue signalling that's important. https://t.co/ifT8DQRi2Q",BayAreaFrau,2019-10-08 12:24:21
Climate change,"@GilYardeni @LouisePentland @NikiAlbon Please don't misinterpret what I said. I stated that individual adaption is the best interim course of action while scientific development and research continues. Truthfully, yes there is a likelihood that the planet will phase through yet another severe climate change, and
/1",James Copeland,2019-10-08 12:24:20
Global warming,Venus planet of love was destroyed by global warming https://t.co/UVEmfy4BvN,still spooky 👻,2019-10-08 12:24:19
Climate change,@ExtinctionR @PennyAMorgan None of you are helping climate change one little bit. Just causing a lot of trouble. Your behaviour is stopping police from doing there job &amp; honest people from working.  Most people in our community have made our gardens wildlife friendly &amp; planted lots of trees,Terry Hancock,2019-10-08 12:24:10
Climate change,"@Jake_Hanrahan I don't get why you're posting this. That photo's from the cover of TIME magazine's May 2019 issue (https://t.co/PXOyb7gr5I).

TIME's feature (and not Greta) was sponsored by Rolex. You think she should turn down the opportunity to publicise climate change because of that?",a7839415132,2019-10-08 12:24:07
Climate change,"I feel fatally ambivalent about climate change. Listening to Muse's Unsustainable to try and wake a few neurons up.
https://t.co/227yGCVl0S",NotThatRachel,2019-10-08 12:23:52
Climate change,@vamroses @eldertine @CarolineLucas @joswinson @jeremycorbyn @IanBlackfordMP It has failed. that does not mean it should be replaced with a neo marxist ideology based on abstract concepts such as climate change,John Leslie,2019-10-08 12:23:48
Climate change,"Tar sands, hydro and Trudeau: Canada and climate change. Another great national profile from @CarbonBrief https://t.co/4Rb6kpY1kU",Dave Reay,2019-10-08 12:23:46
Global warming,"@JustinTrudeau Your plan to fight climate change is the most ridiculous plan people have heard of. Tax the hell out of people for what? People still need to heat their homes, people still need to get to their jobs, people living in rural areas still need to get to doctors. #TrudeauWorstPM",Liz Roy,2019-10-08 12:23:44
Climate change,"@PM4EastRen this isn’t good enough. It’s 2019, climate change is happening and people are moving towards active travel but the council is going backwards and creating unsafe commuting for cyclists who vulnerable road users just so few locals can park their car on the road.",Thomas Cornwallis,2019-10-08 12:23:43
Climate change,"Sobering view on fighting #climate change: #Energy Transition? Not So Fast, One Expert Says https://t.co/ckt1Jtra0N",Lachlan Carmichael,2019-10-08 12:23:42
Climate change,@KTHopkins @arpitbhtnagar such hypocrisy.. they will come in fancy cars and protest about climate change .. kill animals.and protest about right to live.. will honour terrorists and protest  against countries who take strict action against terrorism and fight about human rights violations,Padmaja Dholakia,2019-10-08 12:23:41
Climate change,"5) For a good overview of the issue in general, read this brilliant piece on climate change and capital markets on @reactionlife! A debut by our excellent intern Jack Dickens https://t.co/Mf27EcJUJs",Alastair Benn,2019-10-08 12:23:37
Climate change,"@Steeeel LMAO. the greta kids a joke tbh. global warming is happening but it aint ""ruining"" their dreams.",dream 🚶‍♂️💯,2019-10-08 12:23:36
Climate change,"Will ""environment champions"" in mainstream media and otherwise actually discuss this on prime time and op-eds....&amp; ask people to stop having beef in their glorious fight to ""save the world"" from climate change?

Or are they limited to running campaigns against Metro? https://t.co/NcUyTxgC0K",Rahul Bhangadia,2019-10-08 12:23:35
Climate change,"@bostonchamber @CityOfBoston In #Boston, we are acting locally and leading globally. Tonight I head to Copenhagen for the C40 World Mayors Summit. @c40cities is a network of the world’s largest cities, working together to slow climate change. https://t.co/pCKjsz5byB",Mayor Marty Walsh,2019-10-08 12:23:34
Climate change,"I’m all for people who genuinely try do something about climate change, but this is completely ridiculous. These people are morons who are getting more bad attention than good. https://t.co/BNL6dQPbEH",Ollie Olly Oli,2019-10-08 12:23:30
Climate change,"Yes!

Climate change and such https://t.co/MJaJU6mja9",JustCurious,2019-10-08 12:23:30
Global warming,@ExtinctionR @GeorgeMonbiot All these protests won't stop China or India they make up 65% of the co2. Yet you protest where the countries produce only 1%. Even if all those 1% places went net zero tomorrow china and india still would not change which means the climate would not change.,Thomas Wolf,2019-10-08 12:23:28
Climate change,"@gliterfaery @sandela @NoLore Other than both parties believing in climate change, there’s not a lot of common ground. There’s a lot of people in the Greens who left the Conservatives. There are people who joined the Greens because they didn’t like that the NDP leader is brown.",Gold Coals,2019-10-08 12:23:27
Climate change,"@HobbsStu I sort of get the principle. Global warming etc, more can be done. But acting the cunt in Trafalgar Square changes nothing. Ironically causing congestion which is causing pollution",Monkey Harris,2019-10-08 12:23:21
Global warming,"@ZubyMusic Now display some pics of climate change scientists, or the United Nations, or FEMA. Or any Nobel prize winner, all of whom UNANIMOUSLY agree that human activity is affecting climate. But yeah that isn’t sensational enough for you, and wouldn’t get you likes from your base.",johnnymidlife,2019-10-08 12:23:20
Climate change,@TheProleStar @politicswatch15 Here is yet another speaking through a blindfold of lies I will have to let him know this young Girl is defective in body and mind same as you dear friend as you probably have none and yes I do believe the Universe is changes as it is billions of years change times and climate,James buggy,2019-10-08 12:23:20
Global warming,"Saving The World From Climate Change Requires Not Fewer Children, But More https://t.co/EOg8YjbN2I",🇺🇸 ✝️ 𝘔𝘢𝘳𝘪𝘰 ن 💦,2019-10-08 12:23:12
Climate change,There is no climate change... 🙈 https://t.co/OMOX05Hbxy,Stephanie,2019-10-08 12:23:08
Climate change,"He tweets about climate change quite often...and ""voter registration""...guess that's worth talking about not black issues.

I ain't mad...just don't expect my support. https://t.co/TLOxpzIiun",LEGIT TASTE RECORDS™,2019-10-08 12:23:06
Climate change,@iamjumpingin Funny...getting rich on fossil fuel and mommy and daddy campaign about climate change.,Craig Brewer 🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🚴‍♂️🚴‍♂️🚴‍♂️,2019-10-08 12:23:06
Climate change,"Extinction Rebellion: Activists glue themselves to govt building as climate change protests continue: Sky https://t.co/Jc4MBI3m9f #ExtinctionRebellion

MORE w/ EcoSearch - news: https://t.co/gEpCK97byj web: https://t.co/PRtGDOhRlk",EcoInternet,2019-10-08 12:23:03
Global warming,".@emorwee  presents a case study in how bad faith arguments about climate change spread so quickly.

via https://t.co/JXqUJdCzbd

https://t.co/8sY3w9VeD8",Clean Water Action,2019-10-08 12:23:00
Climate change,"If the unelected PM wasn't such an uncooperative crustie about climate action, @ExtinctionR would not need to take to the streets.

https://t.co/ZcOTV51b3J",CelloMom on Cars,2019-10-08 12:22:57
Climate change,"@GE0RGEWHOREWELL It's very easy for people to say ""climate change is more important than people being inconvenienced!"" if they're not the ones being affected by it. This irritates me so much.",Luke,2019-10-08 12:22:56
Climate change,"How are them kids getting to the climate change protests? Bicycle, horse, row boat! I know they wouldn't dare to fly or ride in a car, Since they want to do away with them.",🇺🇸 Dinky(Disabled Logger)🇺🇸,2019-10-08 12:22:55
Climate change,"@Tony__Heller Like plastic straws, a proliferation of thermometers is causing global warming! They must be banned!!! Especially the rectal ones.",Winston Smith,2019-10-08 12:22:53
Climate change,Imagine wanting a burger so badly you whack a woman in the face who's trying to raise awareness of climate change. Of course he's a big man. Fragile male egos crumble when you tell them eating meat might be a bad idea 😂🤮🤢,Alex.,2019-10-08 12:22:51
Climate change,"@CanadianGreens @ElizabethMay Christopher Booker: When future generations look back on the global-warming scare of the past 30 years, nothing will shock them more than the extent to which the official temperature records were systematically “adjusted”.",Tee Kay,2019-10-08 12:22:50
Climate change,@NoticerThing @SkyNews Yea sure. Most scientist around the world who spent years studying this agree climate change is real but hey you heard from a friend it's a hoax so it must be.,Firstplacelast😜,2019-10-08 12:22:48
